Orthogroup	NEMVE	BRAFL
OG0000050	NEMVE02458	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319
OG0000050	NEMVE20024, NEMVE15194, NEMVE17974	bflo_13685
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	bflo_08711
OG0000051	NEMVE18951, NEMVE15008	bflo_18195, bflo_17371
OG0000054	NEMVE01268	bflo_16354, bflo_16689
OG0000054	NEMVE15086, NEMVE10916	bflo_04388
OG0000054	NEMVE05466	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106
OG0000055	NEMVE16653	bflo_18013, bflo_21433
OG0000055	NEMVE12695	bflo_23239
OG0000055	NEMVE15980, NEMVE21960	bflo_23195, bflo_23241, bflo_23237
OG0000056	NEMVE11933	bflo_12398
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	bflo_25516, bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681
OG0000056	NEMVE01503, NEMVE04541	bflo_15952
OG0000056	NEMVE04649, NEMVE01116	bflo_15237
OG0000056	NEMVE19957, NEMVE15228	bflo_22428
OG0000057	NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000057	NEMVE06313	bflo_01752
OG0000057	NEMVE09937, NEMVE08678, NEMVE07881	bflo_15261, bflo_15262
OG0000057	NEMVE12366, NEMVE08787	bflo_18987
OG0000057	NEMVE10389, NEMVE10288	bflo_09753, bflo_09754, bflo_09752, bflo_09751, bflo_09750, bflo_09743, bflo_09742, bflo_09744, bflo_09121, bflo_09741, bflo_09120, bflo_09740, bflo_09749, bflo_21348, bflo_20324
OG0000057	NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515	bflo_23697
OG0000057	NEMVE17706	bflo_24939, bflo_19525, bflo_00567, bflo_15438
OG0000058	NEMVE06253	bflo_09144
OG0000058	NEMVE13151	bflo_09194
OG0000059	NEMVE00551, NEMVE09296, NEMVE11121	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	bflo_13996, bflo_14747
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	bflo_25984, bflo_26009
OG0000060	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088	bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800
OG0000060	NEMVE09694	bflo_15783
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	bflo_09093, bflo_01709, bflo_01384, bflo_09821, bflo_09833, bflo_09838, bflo_09482
OG0000062	NEMVE14126	bflo_13529
OG0000062	NEMVE00002, NEMVE17871	bflo_00246
OG0000063	NEMVE18393	bflo_11558
OG0000063	NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682	bflo_25147
OG0000063	NEMVE09684	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	bflo_17538, bflo_21055, bflo_21054, bflo_02953, bflo_23807, bflo_08468, bflo_06983, bflo_24602, bflo_21009, bflo_20220, bflo_24720, bflo_02685, bflo_08301, bflo_08116, bflo_26288, bflo_26412, bflo_09607, bflo_07983
OG0000066	NEMVE03297	bflo_26507, bflo_06316
OG0000066	NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280	bflo_05790, bflo_06779, bflo_06781, bflo_00120, bflo_10919, bflo_00979, bflo_20628, bflo_19878
OG0000066	NEMVE02094, NEMVE00829	bflo_04761
OG0000066	NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189	bflo_03911, bflo_17245, bflo_19059
OG0000066	NEMVE14665, NEMVE01053	bflo_09989
OG0000066	NEMVE05161	bflo_19880
OG0000066	NEMVE06765	bflo_26636
OG0000066	NEMVE09456	bflo_22827
OG0000067	NEMVE10714	bflo_08170
OG0000067	NEMVE09992, NEMVE05352, NEMVE17696, NEMVE13081, NEMVE04875	bflo_22984, bflo_22901, bflo_06785, bflo_23896, bflo_01576, bflo_00639, bflo_00640, bflo_22900
OG0000068	NEMVE24661, NEMVE20048	bflo_12119, bflo_12120, bflo_10855
OG0000069	NEMVE21932	bflo_09323
OG0000069	NEMVE14181	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000069	NEMVE11511	bflo_05086
OG0000069	NEMVE21739	bflo_26384
OG0000069	NEMVE22023	bflo_23216, bflo_23215
OG0000069	NEMVE12246	bflo_17459
