Orthogroup	APOSC_ok	BRALA
OG0000047	APOSC_18193	BRALA23218, BRALA14165, BRALA14164, BRALA28069, BRALA00424, BRALA02976, BRALA02069, BRALA27265, BRALA11914, BRALA08126, BRALA12628, BRALA20001, BRALA31913, BRALA33929, BRALA30421, BRALA10187, BRALA26702, BRALA12513, BRALA17224, BRALA02337, BRALA11367, BRALA31778, BRALA17391
OG0000047	APOSC_21050	BRALA32269
OG0000047	APOSC_18729	BRALA08127
OG0000047	APOSC_28474	BRALA28421, BRALA26027, BRALA20000, BRALA11368, BRALA03322, BRALA30328
OG0000047	APOSC_04377	BRALA11646, BRALA13140, BRALA20817, BRALA14861
OG0000048	APOSC_05588	BRALA17809
OG0000048	APOSC_11695	BRALA10830
OG0000048	APOSC_03220	BRALA03524
OG0000049	APOSC_16875	BRALA08952, BRALA08950, BRALA08951
OG0000049	APOSC_03799	BRALA15334
OG0000049	APOSC_10378	BRALA15336, BRALA15335
OG0000049	APOSC_00932	BRALA17285, BRALA26771
OG0000049	APOSC_16928, APOSC_08279, APOSC_26768, APOSC_02986, APOSC_00276	BRALA08954, BRALA23719
OG0000049	APOSC_13440	BRALA16919, BRALA35874, BRALA15337
OG0000050	APOSC_23849, APOSC_23848, APOSC_00680	BRALA29504, BRALA33239
OG0000050	APOSC_13214, APOSC_23760, APOSC_25497	BRALA23285
OG0000050	APOSC_21186	BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119
OG0000050	APOSC_09709	BRALA35714
OG0000050	APOSC_20758, APOSC_27570	BRALA21077
OG0000050	APOSC_04902	BRALA28793, BRALA27960, BRALA31232
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	BRALA17952
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	BRALA22978, BRALA25416
OG0000052	APOSC_24676	BRALA20142
OG0000052	APOSC_25118, APOSC_15608, APOSC_21574, APOSC_12782, APOSC_22044	BRALA01780, BRALA19636, BRALA03448, BRALA25177, BRALA34774, BRALA19340, BRALA19337, BRALA13175, BRALA29756, BRALA21907, BRALA29760, BRALA26550, BRALA11628, BRALA30906, BRALA27793, BRALA29469, BRALA18478, BRALA20881, BRALA32444, BRALA27554, BRALA22559, BRALA28706
OG0000053	APOSC_18028	BRALA35406
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	BRALA02118
OG0000055	APOSC_17351	BRALA34592
OG0000055	APOSC_22457	BRALA06465, BRALA06467
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	BRALA00682, BRALA22096
OG0000058	APOSC_09888	BRALA24063
OG0000058	APOSC_06035	BRALA06324
OG0000058	APOSC_07162	BRALA14300, BRALA24917, BRALA27306
OG0000058	APOSC_24215	BRALA14302
OG0000058	APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682	BRALA27304
OG0000059	APOSC_10184	BRALA11568
OG0000059	APOSC_17410	BRALA28531, BRALA32778, BRALA23279
OG0000059	APOSC_10123	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308
OG0000059	APOSC_05314, APOSC_25638, APOSC_08890	BRALA20330, BRALA08042, BRALA20333, BRALA20334, BRALA18048, BRALA33673, BRALA34416, BRALA33406, BRALA33715
OG0000059	APOSC_00480	BRALA19963, BRALA20366
OG0000060	APOSC_15645	BRALA01718
OG0000060	APOSC_26756	BRALA00658, BRALA22074
OG0000061	APOSC_14996	BRALA07400
OG0000061	APOSC_00292	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844, BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	APOSC_26114, APOSC_02472	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000061	APOSC_22657, APOSC_15254, APOSC_00372	BRALA07399, BRALA11283, BRALA07094, BRALA17504
OG0000062	APOSC_26763	BRALA21142
OG0000062	APOSC_18486, APOSC_01084	BRALA31607
OG0000062	APOSC_00580	BRALA35327, BRALA00098
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	BRALA00957, BRALA27402, BRALA12767, BRALA05064, BRALA05065
OG0000063	APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623	BRALA01329
OG0000063	APOSC_13886, APOSC_04832	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	APOSC_23538	BRALA25173, BRALA12022, BRALA14833, BRALA25174, BRALA14834, BRALA12019, BRALA12020, BRALA12018, BRALA25175
OG0000066	APOSC_20821	BRALA25733
OG0000067	APOSC_04289, APOSC_00615, APOSC_00616	BRALA04453
OG0000067	APOSC_22825	BRALA35634
OG0000068	APOSC_25733	BRALA17338
OG0000069	APOSC_25357	BRALA10090
OG0000069	APOSC_25356	BRALA31904, BRALA27769, BRALA28929
OG0000069	APOSC_27459	BRALA06255, BRALA22501
OG0000069	APOSC_07708	BRALA11725
OG0000069	APOSC_11021	BRALA18787
OG0000070	APOSC_23675	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298
OG0000070	APOSC_18875	BRALA14166, BRALA14168
OG0000070	APOSC_15113, APOSC_18604, APOSC_18402	BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167
OG0000070	APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948	BRALA22763, BRALA01254
OG0000071	APOSC_13628	BRALA16857
OG0000071	APOSC_00250	BRALA32052, BRALA20842, BRALA32055, BRALA20769
OG0000072	APOSC_14045	BRALA08308
OG0000072	APOSC_26208	BRALA12631
OG0000072	APOSC_12820	BRALA35229, BRALA34984, BRALA33639, BRALA31916
OG0000072	APOSC_12732, APOSC_13636, APOSC_07172	BRALA03848
OG0000072	APOSC_01547	BRALA26087, BRALA26084, BRALA20069, BRALA20068, BRALA23306
OG0000072	APOSC_22786, APOSC_22112	BRALA18086
OG0000073	APOSC_13256	BRALA32720
OG0000073	APOSC_28014, APOSC_10969, APOSC_08177, APOSC_13622, APOSC_23229, APOSC_06244, APOSC_06245, APOSC_15423, APOSC_02893, APOSC_02894, APOSC_25469, APOSC_25468	BRALA14657, BRALA21835, BRALA32812
OG0000073	APOSC_27321	BRALA22888, BRALA02628, BRALA09933, BRALA18280
OG0000074	APOSC_18220	BRALA08058
OG0000075	APOSC_14489	BRALA11316
OG0000075	APOSC_12033	BRALA18754
OG0000075	APOSC_07538	BRALA11318
OG0000075	APOSC_06620	BRALA17353
OG0000075	APOSC_08706	BRALA20309
OG0000075	APOSC_20859	BRALA25719
OG0000075	APOSC_19754	BRALA17324
OG0000076	APOSC_27192, APOSC_24774, APOSC_00610	BRALA29889
OG0000076	APOSC_06553, APOSC_03640, APOSC_24931	BRALA30389
OG0000076	APOSC_25810	BRALA29888
OG0000076	APOSC_15410	BRALA06580
OG0000076	APOSC_03196	BRALA29887
OG0000077	APOSC_15032	BRALA11472
OG0000077	APOSC_19689	BRALA35746, BRALA06424
OG0000077	APOSC_21239	BRALA09898
