Orthogroup	APOSJ_ok	OWEFU
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	OFUSG05272.1.p1
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	APOSJ_40888, APOSJ_40889	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	APOSJ_54438	OFUSG06853.1.p1
OG0000038	APOSJ_06808, APOSJ_11405	OFUSG15211.1.p1
OG0000038	APOSJ_44498, APOSJ_44500	OFUSG03339.1.p1
OG0000038	APOSJ_07933, APOSJ_58733	OFUSG04771.1.p1
OG0000038	APOSJ_44502	OFUSG03340.1.p1
OG0000038	APOSJ_30481	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	APOSJ_23948	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1, OFUSG02549.1.p1, OFUSG13134.1.p1, OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1
OG0000039	APOSJ_63713	OFUSG04852.1.p1, OFUSG04321.1.p1
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000041	APOSJ_07883	OFUSG07896.1.p1
OG0000041	APOSJ_00247	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000044	APOSJ_57354, APOSJ_57355, APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631	OFUSG03166.1.p1
OG0000044	APOSJ_57022, APOSJ_17804	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000044	APOSJ_25176, APOSJ_21325	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	APOSJ_04410	OFUSG07522.1.p1
OG0000045	APOSJ_64963, APOSJ_04466, APOSJ_33667	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
