Orthogroup	YEAST	MOUSE
OG0000310	YEAST02635	MOUSE53718, MOUSE53719, MOUSE53716, MOUSE53717
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	MOUSE51863, MOUSE10438, MOUSE10436, MOUSE10437, MOUSE53493, MOUSE29611, MOUSE29612, MOUSE29610, MOUSE29795, MOUSE29796
OG0000313	YEAST05106	MOUSE48211, MOUSE47522, MOUSE47523, MOUSE47520, MOUSE47521, MOUSE23145, MOUSE23143, MOUSE41458, MOUSE41457, MOUSE41459
OG0000315	YEAST03248	MOUSE35599
OG0000315	YEAST01921, YEAST01710	MOUSE32256
OG0000315	YEAST04684	MOUSE45241
OG0000316	YEAST01673	MOUSE26249, MOUSE41114, MOUSE41110, MOUSE41112, MOUSE41116, MOUSE41118, MOUSE41111, MOUSE48331, MOUSE48332, MOUSE48333, MOUSE48330, MOUSE48328, MOUSE48329, MOUSE19532, MOUSE19533, MOUSE17505, MOUSE17506, MOUSE17507, MOUSE17503, MOUSE17508, MOUSE17501, MOUSE17502, MOUSE17504, MOUSE41113, MOUSE41117
OG0000317	YEAST01356	MOUSE25702, MOUSE33849, MOUSE06717, MOUSE33847, MOUSE06771, MOUSE34034, MOUSE34033, MOUSE13434, MOUSE13435, MOUSE13437, MOUSE13436, MOUSE06772, MOUSE34035
OG0000321	YEAST03264	MOUSE33356, MOUSE33355, MOUSE20802, MOUSE20804, MOUSE20805, MOUSE14981, MOUSE14980, MOUSE13117, MOUSE52229, MOUSE54119, MOUSE54122, MOUSE54120, MOUSE54121, MOUSE13116, MOUSE52234, MOUSE52233, MOUSE52230, MOUSE52231, MOUSE52232, MOUSE33354, MOUSE20803
OG0000323	YEAST02249	MOUSE50372, MOUSE49692, MOUSE29628, MOUSE29626, MOUSE29627, MOUSE30410, MOUSE30411, MOUSE30408, MOUSE30409, MOUSE30412, MOUSE08592, MOUSE08593, MOUSE01184, MOUSE01183
OG0000326	YEAST06268, YEAST05286	MOUSE34983, MOUSE34981, MOUSE29939, MOUSE04029, MOUSE34982, MOUSE34984, MOUSE34985
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	MOUSE34523
OG0000327	YEAST01354	MOUSE31111, MOUSE31110, MOUSE31114, MOUSE31112, MOUSE31109, MOUSE31107, MOUSE31115, MOUSE23563, MOUSE23562, MOUSE23566, MOUSE23567, MOUSE23568, MOUSE23564, MOUSE23565, MOUSE31104, MOUSE31103, MOUSE31113
OG0000334	YEAST05626	MOUSE13160, MOUSE02815, MOUSE02813, MOUSE02814, MOUSE45699, MOUSE45700, MOUSE45698
OG0000338	YEAST02967	MOUSE04991, MOUSE04988, MOUSE04987, MOUSE04990, MOUSE04992, MOUSE04989, MOUSE15354, MOUSE46432, MOUSE46431, MOUSE46433, MOUSE23117, MOUSE23120, MOUSE23116, MOUSE23114, MOUSE23113, MOUSE23111, MOUSE23115
OG0000338	YEAST04211	MOUSE50497, MOUSE50498
OG0000343	YEAST03024, YEAST02736	MOUSE52159, MOUSE52158, MOUSE52157, MOUSE52156, MOUSE52160, MOUSE45023, MOUSE45020, MOUSE45019, MOUSE45017, MOUSE45022, MOUSE45018, MOUSE45025, MOUSE45024, MOUSE45021
OG0000345	YEAST01884	MOUSE03550, MOUSE48176, MOUSE21345, MOUSE03544, MOUSE03543, MOUSE03545, MOUSE03542, MOUSE03547, MOUSE03549, MOUSE03548, MOUSE03546, MOUSE03540, MOUSE03541, MOUSE48175, MOUSE48171, MOUSE21343
OG0000352	YEAST04069	MOUSE20799, MOUSE20798, MOUSE20800, MOUSE18465, MOUSE18464, MOUSE48828, MOUSE48827, MOUSE00653, MOUSE00652, MOUSE00651, MOUSE00650, MOUSE01779, MOUSE01780, MOUSE01778
OG0000357	YEAST01925	MOUSE20055, MOUSE20054, MOUSE20050, MOUSE37778, MOUSE37783, MOUSE37784, MOUSE37779, MOUSE37781, MOUSE37782, MOUSE37777, MOUSE37776, MOUSE20051, MOUSE46513, MOUSE46514, MOUSE46515, MOUSE46511, MOUSE39437, MOUSE55151, MOUSE09345, MOUSE17463, MOUSE55149, MOUSE55148, MOUSE55147, MOUSE55152, MOUSE55150, MOUSE55146
OG0000359	YEAST02489	MOUSE49669, MOUSE49668, MOUSE46110, MOUSE30916, MOUSE30917, MOUSE30918, MOUSE30920, MOUSE30921, MOUSE30914, MOUSE30913, MOUSE30911, MOUSE30915, MOUSE30919, MOUSE30912, MOUSE46527, MOUSE46525, MOUSE54214
OG0000363	YEAST04081, YEAST05870	MOUSE49901, MOUSE17584, MOUSE17582, MOUSE17583, MOUSE37872, MOUSE17587
OG0000365	YEAST05831	MOUSE51118, MOUSE51117, MOUSE24387, MOUSE24386, MOUSE15939, MOUSE01411, MOUSE01410, MOUSE31382, MOUSE31380, MOUSE31381, MOUSE50452, MOUSE50454, MOUSE50451, MOUSE50453
OG0000367	YEAST02141, YEAST03746, YEAST03210	MOUSE40630, MOUSE24961, MOUSE24960, MOUSE40629, MOUSE53593, MOUSE29122, MOUSE18961, MOUSE12636, MOUSE12635, MOUSE12634
OG0000372	YEAST05988	MOUSE31597, MOUSE34480, MOUSE34479, MOUSE34478, MOUSE03497, MOUSE03494, MOUSE03493, MOUSE03495, MOUSE03496, MOUSE28281, MOUSE06545, MOUSE06546, MOUSE31598
OG0000373	YEAST02023	MOUSE37700, MOUSE37699, MOUSE37702, MOUSE37701, MOUSE20030, MOUSE35785
OG0000380	YEAST01047	MOUSE30109, MOUSE13837, MOUSE39986, MOUSE50110, MOUSE13767, MOUSE20196, MOUSE27917
OG0000385	YEAST03496	MOUSE26354, MOUSE26353, MOUSE35288, MOUSE35289, MOUSE35284, MOUSE35286, MOUSE08532
OG0000393	YEAST04072, YEAST04071	MOUSE37529, MOUSE37530, MOUSE37528, MOUSE41790, MOUSE12782
OG0000393	YEAST01302	MOUSE06185
OG0000397	YEAST05080	MOUSE35971, MOUSE40375, MOUSE35972, MOUSE35970, MOUSE46687, MOUSE47841, MOUSE40376, MOUSE40377, MOUSE40374, MOUSE40371, MOUSE40373, MOUSE40372
OG0000399	YEAST02160	MOUSE07411, MOUSE07410, MOUSE07412, MOUSE07413, MOUSE07409, MOUSE30468, MOUSE06544, MOUSE30469, MOUSE51796, MOUSE48644
OG0000400	YEAST05911	MOUSE32133, MOUSE32134, MOUSE28876
OG0000402	YEAST01657, YEAST01929	MOUSE39022, MOUSE48026, MOUSE20939, MOUSE29094, MOUSE12311
OG0000405	YEAST06055, YEAST00411	MOUSE30202, MOUSE30201, MOUSE30203, MOUSE30204, MOUSE44618, MOUSE44617, MOUSE44620, MOUSE44616, MOUSE44621, MOUSE10163, MOUSE10157, MOUSE10159, MOUSE10167, MOUSE10169, MOUSE10166, MOUSE10165, MOUSE10144, MOUSE10148, MOUSE10161, MOUSE10149, MOUSE10145, MOUSE10152, MOUSE10153, MOUSE10155, MOUSE10156, MOUSE10168, MOUSE10162, MOUSE10164, MOUSE10151, MOUSE10158, MOUSE10150, MOUSE10160, MOUSE44619, MOUSE10154
OG0000412	YEAST00099	MOUSE11434
OG0000412	YEAST04469	MOUSE25647, MOUSE11433, MOUSE11432, MOUSE25648, MOUSE25646
OG0000413	YEAST04905, YEAST05340	MOUSE55055, MOUSE27417, MOUSE28007, MOUSE43292
OG0000413	YEAST02838	MOUSE15629, MOUSE45112, MOUSE55054, MOUSE55052, MOUSE55053, MOUSE55057, MOUSE55056, MOUSE45114, MOUSE45113
OG0000419	YEAST05989	MOUSE47174, MOUSE47175, MOUSE47172, MOUSE47173, MOUSE43962, MOUSE23530, MOUSE20494, MOUSE31143, MOUSE23445, MOUSE23446, MOUSE23531
OG0000420	YEAST03886	MOUSE29776, MOUSE29772, MOUSE29773, MOUSE29774, MOUSE29775, MOUSE09584, MOUSE09585
OG0000424	YEAST03563	MOUSE20885, MOUSE20880, MOUSE20881, MOUSE20883, MOUSE20884, MOUSE20882, MOUSE20886, MOUSE20893, MOUSE20892, MOUSE20890, MOUSE20889, MOUSE20888, MOUSE20895, MOUSE20903, MOUSE20891
OG0000426	YEAST03440	MOUSE03252, MOUSE03251
OG0000426	YEAST01121	MOUSE03838
OG0000427	YEAST02655, YEAST02439	MOUSE45881, MOUSE45880, MOUSE45878, MOUSE45877, MOUSE45879, MOUSE34466, MOUSE34463, MOUSE34462, MOUSE34461, MOUSE34464, MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448, MOUSE45882
OG0000429	YEAST02285	MOUSE10868, MOUSE10869, MOUSE06190, MOUSE06189, MOUSE06191
OG0000431	YEAST04014	MOUSE46075, MOUSE46076, MOUSE46077, MOUSE36473, MOUSE36474, MOUSE36472, MOUSE50061, MOUSE50060, MOUSE50062, MOUSE29578, MOUSE29583, MOUSE29582, MOUSE29579, MOUSE09376, MOUSE47610, MOUSE47606, MOUSE47605, MOUSE47607, MOUSE29585, MOUSE29586, MOUSE29581, MOUSE29580, MOUSE47609, MOUSE47608, MOUSE29584
