Orthogroup	AENJA_ok	LYTVA_ok
OG0000052	AENJA_09495, AENJA_02638, AENJA_11489, AENJA_25939, AENJA_25043, AENJA_26054, AENJA_00223, AENJA_03349, AENJA_13979	LYTVA_25360, LYTVA_13343, LYTVA_27172, LYTVA_14727, LYTVA_07095, LYTVA_26162
OG0000053	AENJA_14744	LYTVA_16375
OG0000053	AENJA_09568	LYTVA_06684, LYTVA_08646, LYTVA_29027
OG0000053	AENJA_04227, AENJA_07517	LYTVA_10692, LYTVA_10696
OG0000053	AENJA_26082	LYTVA_10743, LYTVA_12622, LYTVA_05055, LYTVA_03521, LYTVA_18088, LYTVA_00806
OG0000053	AENJA_25816, AENJA_09489	LYTVA_11130, LYTVA_14984, LYTVA_16852
OG0000054	AENJA_06676, AENJA_23371	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	LYTVA_28790
OG0000056	AENJA_20111	LYTVA_05867
OG0000056	AENJA_20268	LYTVA_03272
OG0000056	AENJA_05228	LYTVA_17286
OG0000056	AENJA_14653	LYTVA_28840
OG0000056	AENJA_25728	LYTVA_00266
OG0000056	AENJA_01631, AENJA_03114	LYTVA_13357
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	LYTVA_22815
OG0000057	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677	LYTVA_16930, LYTVA_18973, LYTVA_00270, LYTVA_24006, LYTVA_29476, LYTVA_19349, LYTVA_10024, LYTVA_11718, LYTVA_22254
OG0000058	AENJA_12354	LYTVA_16698
OG0000058	AENJA_14024	LYTVA_01877, LYTVA_05596
OG0000058	AENJA_10634	LYTVA_05352, LYTVA_05598, LYTVA_13005
OG0000058	AENJA_08370	LYTVA_11473, LYTVA_09178
OG0000059	AENJA_13132	LYTVA_18957
OG0000059	AENJA_17651	LYTVA_17899
OG0000059	AENJA_18423, AENJA_19757	LYTVA_19539
OG0000059	AENJA_26400	LYTVA_23387
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	AENJA_17233	LYTVA_30158, LYTVA_18098
OG0000060	AENJA_19748	LYTVA_02319
OG0000060	AENJA_06413	LYTVA_11689, LYTVA_07972
OG0000060	AENJA_16934, AENJA_19164, AENJA_25801, AENJA_00669, AENJA_06416, AENJA_06418, AENJA_18536, AENJA_04512, AENJA_04510, AENJA_04511, AENJA_11167, AENJA_04778, AENJA_05765	LYTVA_20466
OG0000060	AENJA_23597	LYTVA_10196
OG0000061	AENJA_07301	LYTVA_16102
OG0000061	AENJA_07183	LYTVA_20900
OG0000061	AENJA_26614, AENJA_08766	LYTVA_26455, LYTVA_26459
OG0000061	AENJA_06999	LYTVA_19867
OG0000061	AENJA_07304	LYTVA_16101
OG0000062	AENJA_09642	LYTVA_27501, LYTVA_24383, LYTVA_01528
OG0000062	AENJA_22683	LYTVA_05092
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	LYTVA_18550
OG0000063	AENJA_20321	LYTVA_03474
OG0000063	AENJA_03789	LYTVA_28622
OG0000063	AENJA_04323	LYTVA_11640, LYTVA_20066, LYTVA_07999
OG0000063	AENJA_26394	LYTVA_16178
OG0000064	AENJA_16750	LYTVA_19553, LYTVA_11533, LYTVA_25986, LYTVA_20628
