Orthogroup	AMPFI_ok	BRAFL
OG0000083	AMPFI_05014, AMPFI_16451, AMPFI_02295, AMPFI_09906, AMPFI_11280, AMPFI_20014, AMPFI_07179, AMPFI_25004, AMPFI_14557, AMPFI_11131, AMPFI_00181, AMPFI_24785, AMPFI_03500, AMPFI_15650, AMPFI_03031, AMPFI_21300, AMPFI_13219, AMPFI_22069, AMPFI_15760, AMPFI_20105, AMPFI_03660, AMPFI_07901, AMPFI_17694, AMPFI_21854, AMPFI_06694, AMPFI_21611, AMPFI_00790, AMPFI_02867	bflo_10398
OG0000085	AMPFI_20771	bflo_00992
OG0000085	AMPFI_25543	bflo_20147
OG0000085	AMPFI_25819	bflo_12569
OG0000085	AMPFI_25579	bflo_20825
OG0000085	AMPFI_04349	bflo_18272, bflo_18210
OG0000086	AMPFI_08733	bflo_08397, bflo_26694, bflo_24334, bflo_04403, bflo_02111
OG0000086	AMPFI_05946	bflo_00239, bflo_26603, bflo_27246, bflo_03575
OG0000086	AMPFI_04038, AMPFI_13163	bflo_13211
OG0000086	AMPFI_02316, AMPFI_17399	bflo_08959
OG0000087	AMPFI_01947	bflo_15474
OG0000087	AMPFI_07196	bflo_02993
OG0000087	AMPFI_09489	bflo_07784
OG0000087	AMPFI_13769	bflo_11840
OG0000087	AMPFI_08649	bflo_11911
OG0000087	AMPFI_11171	bflo_22659
OG0000087	AMPFI_19662, AMPFI_19663	bflo_03240
OG0000088	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738
OG0000088	AMPFI_09459	bflo_20465
OG0000089	AMPFI_22175, AMPFI_17226, AMPFI_21389, AMPFI_16243, AMPFI_21827	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487
OG0000090	AMPFI_23290, AMPFI_05323	bflo_16621
OG0000091	AMPFI_04685, AMPFI_24623, AMPFI_10622	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396
OG0000093	AMPFI_24276, AMPFI_23360	bflo_06093, bflo_16506, bflo_04478, bflo_02929, bflo_25969, bflo_24926
OG0000093	AMPFI_15184	bflo_16191, bflo_02689
OG0000093	AMPFI_21887	bflo_21514, bflo_02944, bflo_02133, bflo_05347, bflo_02787, bflo_02137
OG0000093	AMPFI_20385	bflo_19907, bflo_22463
OG0000093	AMPFI_22503	bflo_26663
OG0000094	AMPFI_02648	bflo_16311
OG0000094	AMPFI_06525	bflo_11484
OG0000095	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	AMPFI_12180	bflo_21246, bflo_21213
OG0000096	AMPFI_22693	bflo_11038
OG0000096	AMPFI_24766	bflo_17838
OG0000096	AMPFI_11230	bflo_24085, bflo_09131
OG0000096	AMPFI_25309	bflo_18893
OG0000098	AMPFI_24311	bflo_22908, bflo_24811, bflo_02048, bflo_26159
OG0000098	AMPFI_13259, AMPFI_24967	bflo_24865
OG0000098	AMPFI_03629	bflo_05564
OG0000100	AMPFI_19874	bflo_12376
OG0000101	AMPFI_17596, AMPFI_21293	bflo_10195
OG0000101	AMPFI_22964	bflo_22103, bflo_06854
OG0000101	AMPFI_24234, AMPFI_14741, AMPFI_20349	bflo_05084, bflo_22415, bflo_05083, bflo_05081, bflo_22031, bflo_21326, bflo_22414, bflo_22046, bflo_05082, bflo_21328, bflo_21327
OG0000101	AMPFI_14310, AMPFI_02729	bflo_18450
OG0000101	AMPFI_08160	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188
OG0000102	AMPFI_04172, AMPFI_16803	bflo_26889, bflo_08442, bflo_08423, bflo_08476
OG0000102	AMPFI_18600, AMPFI_04898, AMPFI_23999	bflo_04319, bflo_05368
OG0000103	AMPFI_21097	bflo_23791
OG0000104	AMPFI_14148	bflo_11828, bflo_20119
OG0000104	AMPFI_11040	bflo_00906
