Orthogroup	STRPU_ok	YEAST
OG0000523	STRPU_24945, STRPU_24944	YEAST01952, YEAST05838, YEAST06082
OG0000529	STRPU_19440, STRPU_00345, STRPU_11005, STRPU_06251	YEAST05790, YEAST00048
OG0000534	STRPU_00112, STRPU_13181, STRPU_01453, STRPU_08723	YEAST04932
OG0000538	STRPU_13554	YEAST00499
OG0000549	STRPU_26919, STRPU_26917, STRPU_12468, STRPU_12545	YEAST06280, YEAST02610, YEAST05060
OG0000552	STRPU_01962, STRPU_22803, STRPU_05705	YEAST05717
OG0000561	STRPU_21549	YEAST06202, YEAST00331
OG0000562	STRPU_26809, STRPU_25528	YEAST00314
OG0000563	STRPU_18400, STRPU_02520, STRPU_15138, STRPU_15426, STRPU_15425, STRPU_18402, STRPU_18401, STRPU_18397, STRPU_18398, STRPU_18399	YEAST01406
OG0000566	STRPU_22145, STRPU_14680	YEAST05789, YEAST00049
OG0000573	STRPU_11052, STRPU_00392, STRPU_27100, STRPU_27089	YEAST05675
OG0000576	STRPU_23119	YEAST00470, YEAST00193
OG0000578	STRPU_21618	YEAST01208, YEAST00759
OG0000579	STRPU_23503	YEAST02484
OG0000582	STRPU_19500	YEAST03615
OG0000587	STRPU_06588, STRPU_06512	YEAST04063
OG0000587	STRPU_21487, STRPU_21496	YEAST03372
OG0000588	STRPU_00676, STRPU_18950, STRPU_17075	YEAST05197
OG0000590	STRPU_25115, STRPU_25616	YEAST05110, YEAST05552, YEAST03727
OG0000592	STRPU_16888, STRPU_15820, STRPU_15868	YEAST00388
OG0000597	STRPU_14406, STRPU_22530	YEAST04330
OG0000609	STRPU_24853, STRPU_24616	YEAST05180
OG0000612	STRPU_09717, STRPU_09761	YEAST02370
OG0000612	STRPU_26031	YEAST03629
OG0000613	STRPU_24692, STRPU_24700, STRPU_26787	YEAST01072
OG0000623	STRPU_07960, STRPU_07951	YEAST02411
OG0000623	STRPU_00318	YEAST05090
OG0000627	STRPU_03283, STRPU_03246	YEAST02116, YEAST03957
OG0000639	STRPU_27017, STRPU_25405	YEAST02015
OG0000642	STRPU_04607, STRPU_04606, STRPU_04846	YEAST00618
OG0000645	STRPU_25221	YEAST05140
OG0000645	STRPU_22046	YEAST04743
OG0000647	STRPU_09897, STRPU_06712	YEAST04534
OG0000648	STRPU_00211, STRPU_25949, STRPU_00209, STRPU_25924	YEAST04178, YEAST05641
OG0000657	STRPU_17299, STRPU_17301, STRPU_22434, STRPU_00184, STRPU_17300	YEAST03846
OG0000660	STRPU_13999, STRPU_02267, STRPU_17655	YEAST05150, YEAST01587
OG0000662	STRPU_09621, STRPU_09696, STRPU_09739, STRPU_08344	YEAST05937
OG0000663	STRPU_08014, STRPU_19333	YEAST02675, YEAST03294
OG0000672	STRPU_06933	YEAST03771
OG0000672	STRPU_20779	YEAST00984
OG0000676	STRPU_24012	YEAST01503
OG0000676	STRPU_06999	YEAST02962
OG0000683	STRPU_06350, STRPU_18850	YEAST03152, YEAST03537, YEAST05938
OG0000690	STRPU_08035	YEAST04874
OG0000690	STRPU_17155	YEAST02296
OG0000692	STRPU_19316, STRPU_01823	YEAST01969
OG0000692	STRPU_20690, STRPU_24956, STRPU_15312	YEAST03487
OG0000694	STRPU_20350, STRPU_19824, STRPU_19833, STRPU_19828, STRPU_19453, STRPU_19835, STRPU_19830, STRPU_19823, STRPU_19832, STRPU_19837, STRPU_19838, STRPU_19827, STRPU_19825, STRPU_19829, STRPU_19834, STRPU_19841, STRPU_19840, STRPU_19847, STRPU_19822	YEAST05978
OG0000699	STRPU_06143, STRPU_06144, STRPU_06710	YEAST05706
OG0000701	STRPU_09920, STRPU_09919	YEAST02239, YEAST02223
OG0000703	STRPU_04784	YEAST05314
OG0000708	STRPU_23010	YEAST03515
OG0000708	STRPU_18963, STRPU_18977, STRPU_00882, STRPU_23008	YEAST05997
OG0000709	STRPU_20537, STRPU_20711, STRPU_21274, STRPU_21845	YEAST00057
OG0000724	STRPU_21597	YEAST02013
OG0000732	STRPU_06871, STRPU_18394	YEAST04978
OG0000733	STRPU_21566, STRPU_20797	YEAST05474
OG0000735	STRPU_24284	YEAST05945
OG0000737	STRPU_09307	YEAST05188
OG0000744	STRPU_25504, STRPU_25505, STRPU_25506	YEAST05951
OG0000745	STRPU_20528, STRPU_20529, STRPU_19598	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	STRPU_10384, STRPU_17910, STRPU_19015	YEAST01432, YEAST04483
OG0000753	STRPU_23569, STRPU_03838, STRPU_23562	YEAST01034, YEAST02037
OG0000757	STRPU_05504, STRPU_14828	YEAST01489
OG0000758	STRPU_24891	YEAST01504
OG0000759	STRPU_25007	YEAST02878, YEAST05681
OG0000768	STRPU_23593	YEAST02560, YEAST04269
OG0000772	STRPU_04727, STRPU_04734, STRPU_04728, STRPU_15066, STRPU_25730, STRPU_11346, STRPU_25314	YEAST04929
OG0000776	STRPU_25591, STRPU_07752	YEAST04571, YEAST00195, YEAST00312
OG0000777	STRPU_26898, STRPU_26897, STRPU_08984, STRPU_08368	YEAST06297, YEAST02627
