Orthogroup	HELIO_ok	SCHMD
OG0000280	HELIO_02582	SCHMD23115
OG0000281	HELIO_07402	SCHMD28123, SCHMD29220
OG0000282	HELIO_10802	SCHMD05137
OG0000284	HELIO_09271, HELIO_08507, HELIO_03356	SCHMD23360, SCHMD08213
OG0000285	HELIO_08936	SCHMD29037
OG0000288	HELIO_01393	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061
OG0000289	HELIO_07121	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163
OG0000289	HELIO_04864	SCHMD23289, SCHMD16353
OG0000289	HELIO_08142	SCHMD22750
OG0000295	HELIO_05051	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695
OG0000299	HELIO_09503	SCHMD13170, SCHMD20344
OG0000305	HELIO_11091	SCHMD22293
OG0000305	HELIO_04494	SCHMD04764
OG0000305	HELIO_11371	SCHMD01975
OG0000306	HELIO_09402	SCHMD02490, SCHMD21359, SCHMD02963, SCHMD23914, SCHMD02489, SCHMD17729
OG0000308	HELIO_09361, HELIO_07835	SCHMD26369
OG0000308	HELIO_05751	SCHMD01003, SCHMD00895
OG0000310	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589	SCHMD09298, SCHMD11775
OG0000313	HELIO_06905, HELIO_11614	SCHMD03134
OG0000315	HELIO_08178	SCHMD06241
OG0000315	HELIO_09319	SCHMD17654
OG0000315	HELIO_06387	SCHMD01939
OG0000316	HELIO_00705	SCHMD10536, SCHMD22735
OG0000316	HELIO_01356	SCHMD10615, SCHMD19154
OG0000317	HELIO_07279	SCHMD21750, SCHMD18883, SCHMD04765
OG0000317	HELIO_09420	SCHMD15845
OG0000319	HELIO_06272, HELIO_00545	SCHMD18992
OG0000319	HELIO_04456, HELIO_04612, HELIO_10441, HELIO_04762	SCHMD16069
OG0000321	HELIO_08196	SCHMD10046
OG0000321	HELIO_08301	SCHMD04699, SCHMD05278
OG0000322	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778	SCHMD03845, SCHMD03842
OG0000323	HELIO_07979	SCHMD21571, SCHMD14125
OG0000325	HELIO_12606	SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721
OG0000325	HELIO_12089	SCHMD23725, SCHMD23881, SCHMD17816
OG0000326	HELIO_08613	SCHMD29727
OG0000328	HELIO_12519	SCHMD07101, SCHMD21088, SCHMD28818, SCHMD15355, SCHMD24247, SCHMD15304
OG0000333	HELIO_00226	SCHMD26037, SCHMD21228
OG0000338	HELIO_11240, HELIO_09261	SCHMD23566, SCHMD22193
OG0000338	HELIO_11115	SCHMD17969
OG0000339	HELIO_05723, HELIO_01207	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027
OG0000341	HELIO_08174, HELIO_08173	SCHMD01892, SCHMD01891, SCHMD01893
OG0000343	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075	SCHMD10731, SCHMD08099
OG0000346	HELIO_07117, HELIO_02859	SCHMD26404
OG0000350	HELIO_10189, HELIO_09346	SCHMD23543
OG0000352	HELIO_07849	SCHMD07814
OG0000352	HELIO_02109, HELIO_10654	SCHMD03216
OG0000353	HELIO_00605	SCHMD00282, SCHMD11621
OG0000356	HELIO_09257	SCHMD05389
OG0000357	HELIO_02302, HELIO_12008	SCHMD22062, SCHMD19961
OG0000357	HELIO_04303	SCHMD01155
OG0000358	HELIO_08162	SCHMD28430, SCHMD13052, SCHMD26873
OG0000360	HELIO_03033	SCHMD00611, SCHMD06046
OG0000360	HELIO_05668, HELIO_09290	SCHMD06047
OG0000365	HELIO_04794	SCHMD22496, SCHMD22435, SCHMD28326
OG0000367	HELIO_11366, HELIO_00864	SCHMD09947
OG0000372	HELIO_09904	SCHMD11546
OG0000372	HELIO_08215	SCHMD21831, SCHMD11336
OG0000373	HELIO_07356	SCHMD08646, SCHMD00201
OG0000374	HELIO_07571	SCHMD04677, SCHMD23864
OG0000375	HELIO_02630	SCHMD00715
OG0000378	HELIO_00664	SCHMD07011, SCHMD12188
OG0000378	HELIO_01804	SCHMD05583
OG0000379	HELIO_02753	SCHMD22438, SCHMD05351
OG0000379	HELIO_09413	SCHMD04410, SCHMD04728, SCHMD09077, SCHMD07990
OG0000379	HELIO_10769	SCHMD09123, SCHMD25695
OG0000379	HELIO_01951	SCHMD18189, SCHMD00174
OG0000380	HELIO_03707	SCHMD21526
OG0000381	HELIO_00204	SCHMD27041
OG0000382	HELIO_06591	SCHMD02292
OG0000384	HELIO_00671	SCHMD19488, SCHMD18051
OG0000385	HELIO_00841	SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491
OG0000389	HELIO_05126, HELIO_04723, HELIO_01825	SCHMD03232, SCHMD09731
OG0000390	HELIO_11470, HELIO_06676	SCHMD02401, SCHMD19098
OG0000392	HELIO_05710, HELIO_07226	SCHMD08120
OG0000393	HELIO_07006	SCHMD10497
OG0000397	HELIO_10979	SCHMD04641
OG0000399	HELIO_04949	SCHMD23059
OG0000400	HELIO_10775	SCHMD00908
OG0000402	HELIO_08672, HELIO_08610	SCHMD02881, SCHMD11412
OG0000404	HELIO_12139	SCHMD02429
OG0000404	HELIO_05343	SCHMD09283
OG0000405	HELIO_10657	SCHMD26927, SCHMD22788, SCHMD20823
OG0000409	HELIO_03616	SCHMD04012, SCHMD22098
OG0000409	HELIO_10399	SCHMD03752
OG0000411	HELIO_00642	SCHMD01429
OG0000412	HELIO_12508	SCHMD08478
OG0000413	HELIO_08207, HELIO_08206	SCHMD19663
OG0000413	HELIO_10878	SCHMD18817, SCHMD28614
OG0000420	HELIO_11506, HELIO_10479, HELIO_04176	SCHMD23004
OG0000422	HELIO_06618	SCHMD11782, SCHMD13921, SCHMD19755, SCHMD21866
OG0000423	HELIO_10019, HELIO_06490, HELIO_08337	SCHMD29684
OG0000424	HELIO_07447, HELIO_02671	SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568
OG0000425	HELIO_11977	SCHMD24026, SCHMD08029
OG0000426	HELIO_00568	SCHMD02251
OG0000426	HELIO_10983	SCHMD19378, SCHMD08176
OG0000427	HELIO_07136	SCHMD05143
OG0000431	HELIO_04546	SCHMD00614
OG0000432	HELIO_04640	SCHMD11313
OG0000432	HELIO_07017, HELIO_06679	SCHMD08553, SCHMD16033
OG0000433	HELIO_10148	SCHMD05136
OG0000433	HELIO_09108	SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790
OG0000434	HELIO_03450, HELIO_09418, HELIO_09671, HELIO_06005	SCHMD11371, SCHMD07829
OG0000435	HELIO_08123	SCHMD12216, SCHMD19476
OG0000436	HELIO_08988, HELIO_08989	SCHMD13323, SCHMD09381
OG0000437	HELIO_04999, HELIO_08664	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769
OG0000442	HELIO_01730	SCHMD12679
OG0000443	HELIO_07163	SCHMD09029
OG0000444	HELIO_00903	SCHMD00767, SCHMD00766
OG0000445	HELIO_01787, HELIO_05217	SCHMD29179
OG0000446	HELIO_01194	SCHMD12871
OG0000447	HELIO_10938, HELIO_10939	SCHMD15169, SCHMD15170, SCHMD24266
OG0000448	HELIO_08948	SCHMD14173, SCHMD23454, SCHMD22726, SCHMD02667, SCHMD12888, SCHMD05105, SCHMD06817, SCHMD02833, SCHMD08753, SCHMD25489
OG0000450	HELIO_01846	SCHMD15839, SCHMD21713
OG0000454	HELIO_01041	SCHMD11564
OG0000459	HELIO_06755, HELIO_07251	SCHMD17754
OG0000461	HELIO_02414	SCHMD03515
OG0000461	HELIO_03731, HELIO_03732	SCHMD06358
OG0000465	HELIO_12789	SCHMD09590
OG0000465	HELIO_11678	SCHMD27578, SCHMD03407, SCHMD17039, SCHMD17683
OG0000467	HELIO_10923	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369
OG0000469	HELIO_06536	SCHMD15597
OG0000469	HELIO_02957	SCHMD09418
OG0000470	HELIO_04201	SCHMD03185
OG0000473	HELIO_02691, HELIO_04547, HELIO_04615	SCHMD29413
OG0000473	HELIO_12353, HELIO_02800	SCHMD13933
OG0000476	HELIO_11845, HELIO_05685	SCHMD25720, SCHMD19904
OG0000476	HELIO_05620	SCHMD04015
