Orthogroup	HELIO_ok	YEAST
OG0001428	HELIO_11579	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	HELIO_08384	YEAST01712
OG0001434	HELIO_10028, HELIO_10029, HELIO_10027	YEAST03991
OG0001437	HELIO_04743	YEAST01264, YEAST02900
OG0001445	HELIO_12183	YEAST01715
OG0001449	HELIO_03720	YEAST03188
OG0001449	HELIO_09662	YEAST05764
OG0001452	HELIO_09077, HELIO_09076	YEAST05900
OG0001454	HELIO_04552	YEAST01495, YEAST00573
OG0001456	HELIO_09922	YEAST00365
OG0001459	HELIO_08961	YEAST03073, YEAST03464
OG0001461	HELIO_04207	YEAST05255
OG0001468	HELIO_09103	YEAST03875, YEAST03904
OG0001469	HELIO_10093	YEAST02070
OG0001469	HELIO_12462	YEAST02765
OG0001470	HELIO_04948, HELIO_03568	YEAST00369, YEAST05375
OG0001472	HELIO_05084, HELIO_09162	YEAST03031
OG0001473	HELIO_01497, HELIO_06355, HELIO_01429	YEAST05711
OG0001474	HELIO_08603, HELIO_05046	YEAST01416, YEAST05312
OG0001478	HELIO_10243	YEAST01984
OG0001479	HELIO_00677	YEAST01132
OG0001503	HELIO_00871	YEAST03032
OG0001503	HELIO_00967	YEAST02920
OG0001504	HELIO_02828, HELIO_12551	YEAST05406
OG0001505	HELIO_01480	YEAST03361
