Orthogroup	HELIO_ok	APOSC_ok
OG0000067	HELIO_02361	APOSC_22826, APOSC_27789, APOSC_07620
OG0000067	HELIO_07310	APOSC_22825, APOSC_12297, APOSC_15268
OG0000067	HELIO_10782	APOSC_06846
OG0000068	HELIO_09495, HELIO_11520, HELIO_04643	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082
OG0000068	HELIO_09524, HELIO_08964	APOSC_20989, APOSC_25395, APOSC_02568
OG0000068	HELIO_11774	APOSC_09494
OG0000069	HELIO_11698	APOSC_25356
OG0000069	HELIO_03190	APOSC_09914, APOSC_04180, APOSC_28736
OG0000069	HELIO_05270	APOSC_11021
OG0000070	HELIO_05047	APOSC_06564
OG0000070	HELIO_00591	APOSC_13706
OG0000071	HELIO_00564	APOSC_15139
OG0000071	HELIO_11788	APOSC_13628
OG0000071	HELIO_04987, HELIO_11295	APOSC_00250
OG0000072	HELIO_10317	APOSC_14045
OG0000072	HELIO_09782	APOSC_26208
OG0000072	HELIO_10131	APOSC_12820
OG0000072	HELIO_05118, HELIO_10379	APOSC_12732, APOSC_13636, APOSC_07172
OG0000072	HELIO_04791	APOSC_22786, APOSC_22112
OG0000073	HELIO_06740, HELIO_06515, HELIO_11840, HELIO_11839	APOSC_01871, APOSC_01872, APOSC_01870
OG0000073	HELIO_07437	APOSC_27321
OG0000074	HELIO_11128	APOSC_10399
OG0000074	HELIO_09183	APOSC_08687
OG0000074	HELIO_01338, HELIO_05011	APOSC_25382
OG0000074	HELIO_06403	APOSC_18220
OG0000074	HELIO_01439, HELIO_07384	APOSC_00195
OG0000075	HELIO_02705	APOSC_14489
OG0000075	HELIO_12175	APOSC_10923
OG0000075	HELIO_07086	APOSC_12033
OG0000075	HELIO_01193	APOSC_07538
OG0000075	HELIO_09567	APOSC_08706
OG0000075	HELIO_05177	APOSC_20859
OG0000075	HELIO_00684	APOSC_19754
OG0000076	HELIO_06908	APOSC_06553, APOSC_03640, APOSC_24931
OG0000076	HELIO_05357	APOSC_02646, APOSC_07341, APOSC_25810, APOSC_11913
OG0000076	HELIO_06296	APOSC_15410
OG0000076	HELIO_11136	APOSC_03196, APOSC_11772
OG0000076	HELIO_04187	APOSC_00749
OG0000077	HELIO_05657	APOSC_15032
OG0000077	HELIO_00295	APOSC_19689
OG0000077	HELIO_11466	APOSC_21239
OG0000078	HELIO_04372	APOSC_28185
OG0000078	HELIO_06334	APOSC_19588, APOSC_19587, APOSC_28007
OG0000078	HELIO_06313	APOSC_00200, APOSC_02992, APOSC_10949, APOSC_21464, APOSC_21465
OG0000078	HELIO_02467	APOSC_07974, APOSC_05720, APOSC_10828, APOSC_18570, APOSC_24302, APOSC_00416, APOSC_00417, APOSC_23365, APOSC_21031, APOSC_25189, APOSC_15392, APOSC_03625, APOSC_20118, APOSC_27004, APOSC_19017, APOSC_06908
OG0000079	HELIO_01794, HELIO_05740	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	HELIO_00549	APOSC_10552, APOSC_10551
OG0000079	HELIO_01744, HELIO_07509	APOSC_06744, APOSC_18934, APOSC_10580
OG0000080	HELIO_10367	APOSC_04715
OG0000080	HELIO_08678, HELIO_04917	APOSC_01450
OG0000080	HELIO_06750	APOSC_18689
